Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,92416.9,92892.2,82812.9,80423.0,83043.0,82491.6,85015.0,81476.0,82781.0,83241.0,73890.0
Bangladesh,60000.0,60500.0,62524.0,66259.0,63780.0,66101.0,64500.0,81850.0,78150.0,90685.0,89931.0
Burundi,6740.0,7000.0,8700.0,9000.0,10000.0,10900.0,11000.0,10657.0,11367.0,11383.0,11300.0
China,1450000.0,1623000.0,1789753.0,1924457.0,2095570.0,2277000.0,2313000.0,2460400.0,2610400.0,2777200.0,2931800.0
"China, mainland",1450000.0,1623000.0,1789753.0,1924457.0,2095570.0,2277000.0,2313000.0,2460400.0,2610400.0,2777200.0,2931800.0
India,991182.0,1095460.0,1135070.0,1208780.0,1207310.0,1233140.0,1250490.0,1325050.0,1338630.0,1390080.0,1260911.0
Indonesia,150342.0,146603.0,143413.0,145855.0,154369.0,132615.0,144015.0,146251.0,140237.0,128724.0,144064.0
Iran (Islamic Republic of),28000.0,29475.0,26500.0,26500.0,26500.0,26500.0,31500.0,33123.0,34200.0,35000.0,34000.0
Japan,85000.0,82100.0,85900.0,84800.0,83600.0,79500.0,80200.0,82000.0,86300.0,81700.0,69800.0
Kenya,399006.0,377912.0,369400.0,432400.0,445105.0,399100.0,473000.0,439857.0,492990.0,458850.0,569500.0
Malawi,51589.0,47006.0,42490.0,46460.0,45480.0,39447.0,43127.0,45582.0,50588.0,48193.0,45173.0
Mozambique,6380.0,6700.0,5000.0,6400.0,6600.0,6600.0,6700.0,6800.0,7000.0,7100.0,6800.0
Myanmar,21930.0,23000.0,23000.0,23000.0,23000.0,23035.0,23553.0,24091.0,24091.0,24091.0,23000.0
Nepal,16607.0,17438.0,18726.0,20588.0,21394.0,21394.0,23821.25,24653.0,24803.0,25206.0,24118.0
Rwanda,22249.0,24066.0,22503.0,22185.0,24751.0,25410.0,25628.41,27886.76,31067.91,30444.0,33645.0
Sri Lanka,331400.0,327500.0,330000.0,340230.0,338032.0,332090.0,292574.0,307720.0,303840.0,300120.0,278489.0
Thailand,14500.0,14664.0,14700.0,14900.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
TÃ¼rkiye,235000.0,221600.0,225000.0,236000.0,253300.0,265600.0,270000.0,260000.0,296100.0,281500.0,283500.0
Uganda,49182.0,35194.0,57939.0,60969.0,65373.0,58588.0,53887.0,50055.0,74247.0,60337.0,75692.0
United Republic of Tanzania,33160.0,32000.0,32812.0,33700.0,33500.0,35749.0,29571.0,31814.0,35170.0,33664.0,28715.0
Viet Nam,194000.0,204400.0,211500.0,217700.0,228400.0,235500.0,240400.0,260600.0,251400.0,236600.0,243100.0
Zimbabwe,14000.0,14293.0,14622.0,13500.0,13500.0,14000.0,15200.0,15500.0,15700.0,15200.0,15000.0
